South Carolina,SC,https://data-scdnr.opendata.arcgis.com/,
South Carolina,SC,https://www.dnr.sc.gov/gis.html,
South Dakota,SD,https://opendata2017-09-18t192802468z-sdbit.opendata.arcgis.com/,
South Dakota,SD,https://www.sdgs.usd.edu/digitaldata/default.aspx,
Tennessee,TN,https://tnmap.tn.gov/,
Tennessee,TN,https://libguides.utk.edu/tngis/open,
Texas,TX,https://data.texas.gov/,
Texas,TX,https://gis-txdot.opendata.arcgis.com/,
Texas,TX,https://guides.lib.utexas.edu/gis/texas-geodata-portal,
Utah,UT,https://utah.maps.arcgis.com/home/index.html,
Utah,UT,https://gis.utah.gov/,
Vermont,VT,https://geodata.vermont.gov/,
Virginia,VA,https://vgin.vdem.virginia.gov/,
Virginia,VA,https://data.virginia.gov/,
Virginia,VA,https://vgin.maps.arcgis.com/home/index.html,
Virginia,VA,https://vgin.vdem.virginia.gov/apps/VGIN::virginia-department-of-emergency-management-geospatial-portal/about,
Washington,WA,https://geo.wa.gov/,
Washington,WA,https://gisdata-wsdot.opendata.arcgis.com/,
West Virginia,WV,https://www.mapwv.gov/gis.html,
Wisconsin,WI,https://data-wi-dnr.opendata.arcgis.com/,
Wisconsin,WI,https://geodata.wisc.edu/,
Wyoming,WY,https://www.nrcs.usda.gov/wps/portal/nrcs/main/wy/technical/dma/gis/,
Wyoming,WY,https://www.wsgs.wyo.gov/pubs-maps/gis,
